State,Population,Ranking,Criminal Penalty Rank,Prevention Rank,Deaths,Death Rate
Arizona,6482505,1,1,2,2912,45
Alaska,722718,2,2,18,222,31
Connecticut,3580709,3,5,8,1039,29
West Virginia,1855364,4,5,10,1092,59
Kansas,2871238,5,3,29,1214,42
Nebraska,1842641,6,3,32,682,37
Utah,2817222,7,7,13,469,17
Virginia,8096604,8,9,13,2613,32
Delaware,907135,9,9,21,427,47
Georgia,9815210,10,18,4,3699,38
Washington,6830038,11,13,13,1921,28
Tennessee,6403353,12,13,17,3423,53
Oklahoma,3791508,13,12,21,2205,58
Louisiana,4574836,14,13,19,3046,67
Iowa,3062309,15,7,32,968,32
Oregon,3871859,16,16,21,1232,32
Colorado,5116769,17,20,4,1702,33
New Hampshire,1318194,18,20,9,399,30
Texas,25674681,18,16,29,13138,51
South Carolina,4679230,20,19,21,3870,83
Florida,19057542,21,29,4,8476,44
Nevada,2723322,22,20,21,1025,38
Alabama,4802740,23,36,3,3190,66
Arkansas,2937979,23,43,1,1769,60
Massachusetts,6587536,23,9,44,1370,21
Illinois,12869257,26,31,10,3866,30
Hawaii,1374810,27,36,10,484,35
North Carolina,9656401,28,26,26,4102,42
Missouri,6010688,29,39,13,3314,55
New York,19465197,30,24,35,3752,19
California,37691912,31,23,38,10327,27
Maine,1328188,32,43,19,491,37
New Mexico,2082224,33,49,4,1254,60
Indiana,6516922,34,31,36,2210,34
Rhode Island,1051302,34,24,43,308,29
Minnesota,5344861,36,26,40,1442,27
Michigan,9876187,37,31,38,2912,29
Mississippi,2978512,38,43,29,2560,86
Wyoming,568158,39,46,27,506,89
Idaho,1584985,40,26,46,712,45
New Jersey,8821155,41,42,37,1816,21
Ohio,11544951,41,36,40,3637,32
Vermont,626431,43,31,44,212,34
Kentucky,4369356,44,39,40,2041,47
Wisconsin,5711767,45,50,27,2577,45
Montana,998199,46,29,49,932,93
Maryland,5828289,47,50,32,1716,29
North Dakota,683932,48,39,48,502,73
Pennsylvania,12742886,49,48,47,4663,37
District of Columbia,617996,50,31,50,124,20
South Dakota,824082,51,46,51,537,65
